Artlfd,PL-AT,Artikelname,AG-ID,Pfad,Online-Artikelname,Produktname,Kurztext,Vorteile,Anwendungsbereiche,Einsatzbereiche,Anwendung,Nutzenargumentation,youtube-Film
107064,615033,Schleifvliesfächer m. Leinen/ INOX 80 x 50 x 6 mm,967,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleifvliesfächer A06/150,Schleifvliesfächer A06/150 / 80 mm / A06/150,Schleifvliesfächer A06/150,Zum Feinschleifen und zur Oberflächenverbesserung,,"• Zum Feinschleifen und zur Oberflächenverbesserung

• Einsatz an Materialen aus Edelstahl und NE-Metallen

• Ausführung in Vlies mit Leinenzwischenlagen zur Oberflächenverbesserung

• Ausführung ohne Leinen zum Feinschleifen durch Finishing  

• 6 mm Schaft

• Zulässige Höchstgeschwindigkeit beträgt 30 m/s",,,"Ein System für alle Anwendungsbereiche, für vielfältige Arbeitseinsätze wie Reinigen, Entrosten, Entzundern und Entgraten

passend zu 3M-Roloc-System

hohe Standzeit und Sicherheit",
107066,615040,Schleifvliesfächer o. Leinen/ INOX 40 x 20 x 6 mm,967,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleifvliesfächer A06/150,Schleifvliesfächer A06/150 / 40 mm / A06/150,Schleifvliesfächer A06/150,Zum Feinschleifen und zur Oberflächenverbesserung,,"• Zum Feinschleifen und zur Oberflächenverbesserung

• Einsatz an Materialen aus Edelstahl und NE-Metallen

• Ausführung in Vlies mit Leinenzwischenlagen zur Oberflächenverbesserung

• Ausführung ohne Leinen zum Feinschleifen durch Finishing  

• 6 mm Schaft

• Zulässige Höchstgeschwindigkeit beträgt 30 m/s",,,"Ein System für alle Anwendungsbereiche, für vielfältige Arbeitseinsätze wie Reinigen, Entrosten, Entzundern und Entgraten

passend zu 3M-Roloc-System

hohe Standzeit und Sicherheit",
107068,615041,Schleifvliesfächer o. Leinen/ INOX 50 x 30 x 6 mm,967,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleifvliesfächer A06/150,Schleifvliesfächer A06/150 / 50 mm / A06/150,Schleifvliesfächer A06/150,Zum Feinschleifen und zur Oberflächenverbesserung,,"• Zum Feinschleifen und zur Oberflächenverbesserung

• Einsatz an Materialen aus Edelstahl und NE-Metallen

• Ausführung in Vlies mit Leinenzwischenlagen zur Oberflächenverbesserung

• Ausführung ohne Leinen zum Feinschleifen durch Finishing  

• 6 mm Schaft

• Zulässige Höchstgeschwindigkeit beträgt 30 m/s",,,"Ein System für alle Anwendungsbereiche, für vielfältige Arbeitseinsätze wie Reinigen, Entrosten, Entzundern und Entgraten

passend zu 3M-Roloc-System

hohe Standzeit und Sicherheit",
107070,615042,Schleifvliesfächer o. Leinen/ INOX 60 x 30 x 6 mm,967,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleifvliesfächer A06/150,Schleifvliesfächer A06/150 / 60 mm / A06/150,Schleifvliesfächer A06/150,Zum Feinschleifen und zur Oberflächenverbesserung,,"• Zum Feinschleifen und zur Oberflächenverbesserung

• Einsatz an Materialen aus Edelstahl und NE-Metallen

• Ausführung in Vlies mit Leinenzwischenlagen zur Oberflächenverbesserung

• Ausführung ohne Leinen zum Feinschleifen durch Finishing  

• 6 mm Schaft

• Zulässige Höchstgeschwindigkeit beträgt 30 m/s",,,"Ein System für alle Anwendungsbereiche, für vielfältige Arbeitseinsätze wie Reinigen, Entrosten, Entzundern und Entgraten

passend zu 3M-Roloc-System

hohe Standzeit und Sicherheit",
107072,615043,Schleifvliesfächer o. Leinen/ INOX 80 x 50 x 6 mm,967,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleifvliesfächer A06/150,Schleifvliesfächer A06/150 / 80 mm / A06/150,Schleifvliesfächer A06/150,Zum Feinschleifen und zur Oberflächenverbesserung,,"• Zum Feinschleifen und zur Oberflächenverbesserung

• Einsatz an Materialen aus Edelstahl und NE-Metallen

• Ausführung in Vlies mit Leinenzwischenlagen zur Oberflächenverbesserung

• Ausführung ohne Leinen zum Feinschleifen durch Finishing  

• 6 mm Schaft

• Zulässige Höchstgeschwindigkeit beträgt 30 m/s",,,"Ein System für alle Anwendungsbereiche, für vielfältige Arbeitseinsätze wie Reinigen, Entrosten, Entzundern und Entgraten

passend zu 3M-Roloc-System

hohe Standzeit und Sicherheit",
107126,645255,Finishing-Handpads ULTRA-FINE 158 x 224 mm  K-600/800,1081,Produkte entdecken|Schleif- und Trenntechnik|Finishing-Systeme|Finishing Handpads,Finishing Handpads / K-600/800,Finishing Handpads,In unterschiedlichen Ausführungen erhältlich.,,"• Schleifmittel auf Rolle oder als Handpads

• Zur Reinigung, Vorbereitung und Endbearbeitung von Oberflächen

• Wasserfest, verwendbar in trockenem und nassem Zustand

• Passt sich den verschiedenen Formen an, ist flexibel und setzt sich nicht zu",,,"Zur Reinigung, Vorbereitung und Endbearbeitung von Oberflächen

Wasserfest, verwendbar in trockenem und nassem Zustand",
107258,645127,Finishing-Rolle ULTRA Fine 125 x 10.000 mm  K-600/800,1085,Produkte entdecken|Schleif- und Trenntechnik|Finishing-Systeme|Finishing Rolle,Finishing Rolle / K-600/800 / 125 x 10.000 mm,Finishing Rolle,Schleifmittel auf Rolle oder als Handpads,,"• Schleifmittel auf Rolle oder als Handpads

• Zur Reinigung, Vorbereitung und Endbearbeitung von Oberflächen

• Wasserfest, verwendbar in trockenem und nassem Zustand

• Passt sich den verschiedenen Formen an, ist flexibel und setzt sich nicht zu",,,"Zur Reinigung, Vorbereitung und Endbearbeitung von Oberflächen

Wasserfest, verwendbar in trockenem und nassem Zustand",
107746,690020,Schleiflamellenwalze Vlies/Leinen A06/150  100 x 100 mm,965,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleiflamellenwalzen aus Vlies/Leinen,Schleiflamellenwalze Vlies/Leinen / 100 mm / K-A06/150,Schleiflamellenwalzen aus Vlies/Leinen,Schleiflamellenwalze mit hohem und aggressivem Schleifeffekt,,"• Durch die Kombination aus Schleifvlies- und Schleifleinenlamellen wird ein hoher und aggressiver Schleifeffekt erzielt

• Zum Entfernen von Kratzern, Zunderschichten und Rost

• Zum Reinigen von Oberflächen, zum Entgraten und Strichmattieren von Metalloberflächen

• Arbeitshöchstgeschwindigkeit: max. 40 m/s = 7.600 n/min (UVV)

• Empfohlene Richtgeschwindigkeit: Cr-Ni und sonstige Edelstähle: 10 – 25 m/s; Zink-Spritzguss und NE-Metalle: 8 – 16 m/s; Holz und Kunststoffe: 5 – 12 m/s",,,"Entfernen von Kratzern, Zunderschichten und Rost

Reinigung von Oberflächen und zum Entgraten und Strichmattieren von Metalloberflächen",
107748,690021,Schleiflamellenwalze/ Vlies A06/150  100 x 100 mm,959,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleiflamellenwalzen aus Vlies,Schleiflamellenwalze Vlies / 100 mm / K-A06/150,Schleiflamellenwalzen aus Vlies,"Sehr elastisch, passt sich dem Werkstück optimal an",,"• Aus mit Schleifkorn durchsetztem Vliesgewebe mit Keilnut

• Zum Reinigen und Glätten von Oberflächen, zum ansatzfreien Mattieren, zum Entfernen leichter Ziehriefen und Strickmattierungen

• Sehr elastisch, passt sich dem Werkstück optimal an

• Nass und trocken einsetzbar, daher auch für die Verwendung mit Kühl- oder Schmiermittel einsetzbar

• Arbeitshöchstgeschwindigkeit: max. 40 m/s = 7.600 n/min (UVV)

• Empfohlene Richtgeschwindigkeit: Cr-Ni und sonstige Edelstähle: 10 – 25 m/s; Zink-Spritzguss und NE-Metalle: 8 – 16 m/s; Holz und Kunststoffe: 5 – 12 m/s",,,"Zum Reinigen/Glätten von Oberflächen, ansatzfreies Mattieren, Entfernen leichter Ziehriefen und Strickmattierungen

Sehr elastisch, passt sich dem Werkstück optimal an",
107750,690022,Schleiflamellenwalze/ Leinen 100 x 100 mm  K-80,966,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleiflamellenwalzen aus Leinen,Schleiflamellenwalze Leinen / 100 mm / K-80,Schleiflamellenwalzen aus Leinen,Optimale Anpassung an das zu schleifende Material,,"• Flexible, radial zur Achse angeordnete Schleifleinenlamellen

• Optimale Anpassung an das zu schleifende Material

• Nur mit leichtem Anpressdruck im Rechtslauf einsetzen

• Ideal für Feinschleifarbeiten zum Reinigen, Entrosten, Entzundern und Entgraten

• Arbeitshöchstgeschwindigkeit max 50 m/s = 9.500 rpm (DSA)

• Empfohlene Schnittgeschwindigkeit: Schmiedestahl/Temperguss: 25 – 40 m/s; C-Stahl/Edelstahl: 30 – 40 m/s; NE-Metalle: 30 – 40 m/s; Holz und Kunststoffe: 15 – 25 m/s",,,"Flexible, radial zur Achse angeordnete Schleifleinenlamellen

Optimale Anpassung an das zu schleifende Material

Nur mit leichtem Anpressdruck im Rechtslauf einsetzen",
108058,646100,Folienradierer 89 x 15 mm,1026,Produkte entdecken|Schleif- und Trenntechnik|Polier-Systeme|Folienradierer,Folienradierer / 89 mm,Folienradierer,"Zum Entfernen von Zierfolien, Aufklebern und Kleberückständen",,"• Zum mühelosen Entfernen von Zierfolien, Aufklebern und Kleberückständen

• Einsetzbar an Lack-, Metall- und Glasflächen, bedenkenlos auch an hochglanzpolierten Oberflächen

• Für alle handelsüblichen Bohrmaschinen, Luft-Pistolenschleifer und Elektro-Geradschleifer

• Bei stetiger Bewegung gegen die Laufrichtung der Maschine arbeiten – Nicht auf einer Stelle verharren, sonst Lackschädengefahr!

• Max. Einsatzgeschwindigkeit beträgt 4.000 rpm",,,"Entfernt: Folien, Aufkleber, Kleberückstände an Lack, Metall und Glas.

An hochglanzpolierten Oberflächen anwendbar.

Für Bohr-, Luft-Pistolenschleifern und Elektro-Geradschleifern.",https://www.youtube.com/watch?v=HopCeV0Ws0I
108060,646101,Folienradieradapter Schaft 6 mm,9173,Produkte entdecken|Schleif- und Trenntechnik|Schleifzubehör|Folienradieradapter,Folienradieradapter,Folienradieradapter,,,für Folienradierer,,,"Folienradieradapter

6mm",
1163,600048,"Kleintrennscheiben 50 x 2,0 x 6 mm",995,Produkte entdecken|Schleif- und Trenntechnik|Trennscheiben|Klein-Trennscheiben Metall,"Klein-Trennscheibe / ø 50 mm / Bohrung: 6 mm / Breite: 2,0 mm",Klein-Trennscheiben Metall,Ideal für feine Schnitte,"• Ideal für feine Schnitte, da „extra dünn“

• Hohe Standzeiten durch spezielles Edelkorund

• Schnelle Schnittzeiten durch engmaschiges, verstärktes Gewebe","• Die „extra dünnen“ Kleintrennscheiben/Inox sind ideal für feine Schnitte, da sie weniger Material entnehmen und somit Funkenflug und Erwärmung sehr gering halten

• Streng nach den Kriterien der Materialprüfanstalt (MPA) produziert

• Entspricht der EN 12413","• Für niedrig-, mittel- und hochlegierte Stähle, NE-Metalle, dünne Bleche und Profile im gesamten Karosserie- und Fahrzeugbau, in PKW- und LKW-Servicebetrieben sowie in Zweirad- und Landmaschinenreparaturbetrieben

• Im gesamten Handwerk, bei der Reparatur und Demontage",,"Ideal für feine Schnitte, da „extra dünn“

Hohe Standzeiten durch spezielles Edelkorund

Schnelle Schnittzeiten durch engmaschiges, verstärktes Gewebe",
1167,600052,"Kleintrennscheibe 70 x 2,0 x 6 mm",995,Produkte entdecken|Schleif- und Trenntechnik|Trennscheiben|Klein-Trennscheiben Metall,"Klein-Trennscheibe / ø 70 mm / Bohrung: 6 mm / Breite: 2,0 mm",Klein-Trennscheiben Metall,Ideal für feine Schnitte,"• Ideal für feine Schnitte, da „extra dünn“

• Hohe Standzeiten durch spezielles Edelkorund

• Schnelle Schnittzeiten durch engmaschiges, verstärktes Gewebe","• Die „extra dünnen“ Kleintrennscheiben/Inox sind ideal für feine Schnitte, da sie weniger Material entnehmen und somit Funkenflug und Erwärmung sehr gering halten

• Streng nach den Kriterien der Materialprüfanstalt (MPA) produziert

• Entspricht der EN 12413","• Für niedrig-, mittel- und hochlegierte Stähle, NE-Metalle, dünne Bleche und Profile im gesamten Karosserie- und Fahrzeugbau, in PKW- und LKW-Servicebetrieben sowie in Zweirad- und Landmaschinenreparaturbetrieben

• Im gesamten Handwerk, bei der Reparatur und Demontage",,"Ideal für feine Schnitte, da „extra dünn“

Hohe Standzeiten durch spezielles Edelkorund

Schnelle Schnittzeiten durch engmaschiges, verstärktes Gewebe",
1168,600115,"Trennscheibe/Metall/ 115 x 2,5 x 22,2 mm",911,Produkte entdecken|Schleif- und Trenntechnik|Trennscheiben|Trennscheibe Karat Metall,"Trennscheibe Karat Metall / 115 mm / ø-Bohrung: 22,23 mm / Breite: 2,5 mm",Trennscheibe Karat Metall,Lange Standzeit und Lebensdauer,,"• Zur Bearbeitung von Metall

• Leistungsstark

• Lange Standzeit und Lebensdauer

• Ausgezeichnet mit dem TECHNOLIT®-Gütezeichen „Industriequalität“ 

• Hohe Arbeitssicherheit ",,,"Zur Bearbeitung von Metall

Leistungsstark

Lange Standzeit und Lebensdauer",
1171,600125,"Trennscheibe/Metall/ 125 x 2,5 x 22,2 mm",911,Produkte entdecken|Schleif- und Trenntechnik|Trennscheiben|Trennscheibe Karat Metall,"Trennscheibe Karat Metall / 125 mm / ø-Bohrung: 22,23 mm / Breite: 2,5 mm",Trennscheibe Karat Metall,Lange Standzeit und Lebensdauer,,"• Zur Bearbeitung von Metall

• Leistungsstark

• Lange Standzeit und Lebensdauer

• Ausgezeichnet mit dem TECHNOLIT®-Gütezeichen „Industriequalität“ 

• Hohe Arbeitssicherheit ",,,"Zur Bearbeitung von Metall

Leistungsstark

Lange Standzeit und Lebensdauer",
1174,600150,"Trennscheibe/Metall/ 150 x 2,5 x 22,2 mm",911,Produkte entdecken|Schleif- und Trenntechnik|Trennscheiben|Trennscheibe Karat Metall,"Trennscheibe Karat Metall / 150 mm / ø-Bohrung: 22,23 mm / Breite: 2,5 mm",Trennscheibe Karat Metall,Lange Standzeit und Lebensdauer,,"• Zur Bearbeitung von Metall

• Leistungsstark

• Lange Standzeit und Lebensdauer

• Ausgezeichnet mit dem TECHNOLIT®-Gütezeichen „Industriequalität“ 

• Hohe Arbeitssicherheit ",,,"Zur Bearbeitung von Metall

Leistungsstark

Lange Standzeit und Lebensdauer",
1180,600230,"Trennscheibe/Metall/ 230 x 3,0 x 22,2 mm",911,Produkte entdecken|Schleif- und Trenntechnik|Trennscheiben|Trennscheibe Karat Metall,"Trennscheibe Karat Metall / 230 mm / ø-Bohrung: 22,23 mm / Breite: 3,0 mm",Trennscheibe Karat Metall,Lange Standzeit und Lebensdauer,,"• Zur Bearbeitung von Metall

• Leistungsstark

• Lange Standzeit und Lebensdauer

• Ausgezeichnet mit dem TECHNOLIT®-Gütezeichen „Industriequalität“ 

• Hohe Arbeitssicherheit ",,,"Zur Bearbeitung von Metall

Leistungsstark

Lange Standzeit und Lebensdauer",
1185,600900,"Trennscheibe VA/ INOX 180 x 2,0 x 22,2 mm",912,Produkte entdecken|Schleif- und Trenntechnik|Trennscheiben|Trennscheibe Karat Inox,"Trennscheibe Karat Inox / 178 mm / Breite: 2,0 mm",Trennscheibe Karat Inox,Aus glasfaserverstärktem Siliziumkarbid-Korund,,"• Zur Bearbeitung von Metall, NE-Metallen, Edelstahl

• Leistungstark

• Lange Standzeit und Lebensdauer

• Ausgezeichnet mit dem TECHNOLIT® Gütezeichen „Industriequalität“ 

• Hohe Arbeitssicherheit",,,"Zur Bearbeitung von Metall, NE-Metallen, Edelstahl

Leistungstark

Lange Standzeit und Lebensdauer",
1188,600905,"Trennscheibe VA/ INOX 230 x 2,0 x 22,2 mm",912,Produkte entdecken|Schleif- und Trenntechnik|Trennscheiben|Trennscheibe Karat Inox,"Trennscheibe Karat Inox / 230 mm / Breite: 2,0 mm",Trennscheibe Karat Inox,Aus glasfaserverstärktem Siliziumkarbid-Korund,,"• Zur Bearbeitung von Metall, NE-Metallen, Edelstahl

• Leistungstark

• Lange Standzeit und Lebensdauer

• Ausgezeichnet mit dem TECHNOLIT® Gütezeichen „Industriequalität“ 

• Hohe Arbeitssicherheit",,,"Zur Bearbeitung von Metall, NE-Metallen, Edelstahl

Leistungstark

Lange Standzeit und Lebensdauer",
1211,610115,"Schleifscheibe/ Metall 115 x 6,0 x 22,2 mm",924,Produkte entdecken|Schleif- und Trenntechnik|Schleifscheiben|Schleifscheibe Karat Metall,Schleifscheibe Karat Metall / 115 mm,Schleifscheibe Karat Metall,Professionelle Schleifscheibe mit hervorragender Leistung,,"• Entspricht der EN 12413

• Zur Bearbeitung von Metall

• Leistungstark, lange Standzeit und Lebensdauer

• Ausgezeichnet mit dem TECHNOLIT® Gütezeichen „Industriequalität“ 

• Hohe Arbeitssicherheit",,,"Zur Bearbeitung von Metall

Leistungstark, lange Standzeit und Lebensdauer

Entspricht der EN 12413",
1214,610125,"Schleifscheibe/ Metall 125 x 6,0 x 22,2 mm",924,Produkte entdecken|Schleif- und Trenntechnik|Schleifscheiben|Schleifscheibe Karat Metall,Schleifscheibe Karat Metall / 125 mm,Schleifscheibe Karat Metall,Professionelle Schleifscheibe mit hervorragender Leistung,,"• Entspricht der EN 12413

• Zur Bearbeitung von Metall

• Leistungstark, lange Standzeit und Lebensdauer

• Ausgezeichnet mit dem TECHNOLIT® Gütezeichen „Industriequalität“ 

• Hohe Arbeitssicherheit",,,"Zur Bearbeitung von Metall

Leistungstark, lange Standzeit und Lebensdauer

Entspricht der EN 12413",
